Wavelength (nm),Calc.
317.0,0.9065527386150956
318.0,0.923084743254989
319.0,0.9380833443188737
320.0,0.9515613251988383
321.0,0.9635565274428008
322.0,0.9740884357323455
323.0,0.9831161474160157
324.0,0.990506734717036
325.0,0.996021102600074
326.0,0.9993213596835752
327.0,1.0
328.0,0.9976272926829041
329.0,0.9918096940488756
330.0,0.9822495109668432
331.0,0.9687952330827079
332.0,0.9514734529122256
333.0,0.9304970019960633
334.0,0.9062489350784835
335.0,0.8792468409717646
336.0,0.8500952592774694
337.0,0.8194349922041919
338.0,0.7878969480367537
339.0,0.7560656282633732
340.0,0.7244544770043014
341.0,0.6934928534749181
342.0,0.6635227749144794
343.0,0.6348028456839961
344.0,0.6075167450928484
345.0,0.5817840227385354
346.0,0.5576715047990405
347.0,0.5352041799186237
348.0,0.5143749164968205
349.0,0.49515272926910736
350.0,0.4774895627871554
351.0,0.4613257113099135
352.0,0.44659407276798324
353.0,0.4332234612290455
354.0,0.421141195000719
355.0,0.4102751479399738
356.0,0.40055540733033546
357.0,0.39191562872501146
358.0,0.38429412292042747
359.0,0.37763466103362836
360.0,0.371886949969598
361.0,0.36700672040292914
362.0,0.362955385974992
363.0,0.35969927190315615
364.0,0.3572084633481926
365.0,0.3554553755414276
366.0,0.3544131876385775
367.0,0.3540543048269099
368.0,0.3543490185602141
369.0,0.35526452645364837
370.0,0.3567644543375381
371.0,0.3588089928331019
372.0,0.3613557153795946
373.0,0.3643610784456276
374.0,0.3677825155207972
375.0,0.37158093034831313
376.0,0.3757232884993943
377.0,0.38018492576198276
378.0,0.38495116511849375
379.0,0.3900178811700491
380.0,0.3953907733352315
381.0,0.40108328648873814
382.0,0.4071133125129633
383.0,0.4134989770898008
384.0,0.42025393204651035
385.0,0.4273826235529699
386.0,0.43487599915713865
387.0,0.4427080724758923
388.0,0.450833703923096
389.0,0.459187890303515
390.0,0.4676867830417399
391.0,0.4762305606448912
392.0,0.4847081484449777
393.0,0.4930035971851475
394.0,0.5010037078490059
395.0,0.5086062523139822
396.0,0.5157279380116434
397.0,0.5223111594763854
398.0,0.5283286203673575
399.0,0.533785115514696
400.0,0.538716109277649
401.0,0.5431831681123682
402.0,0.5472667133654227
403.0,0.5510568724973471
